"","Name","G","Date","Age","Tm","X5","Opp","X7","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"50","James Harden","50",2017-01-27,"27-154","HOU","@","PHI","W (+5)","1","NA","16","28","0.571","6","11","0.545","13","14","0.929","1","12","13","13","2","1","5","4","51","46.9","13"
"51","James Harden","51",2017-01-29,"27-156","HOU","@","IND","L (-19)","1","NA","3","17","0.176","2","10","0.2","7","7","1","1","4","5","8","3","0","8","5","15","4.8","-23"
"52","James Harden","52",2017-01-31,"27-158","HOU",NA,"SAC","W (+22)","1","NA","3","9","0.333","0","5","0","4","4","1","0","7","7","8","1","0","5","2","10","7.8","17"
"53","James Harden","53",2017-02-02,"27-160","HOU",NA,"ATL","L (-5)","1","NA","10","23","0.435","5","12","0.417","16","21","0.762","2","6","8","8","4","0","4","3","41","34.5","1"
"54","James Harden","54",2017-02-03,"27-161","HOU",NA,"CHI","W (+4)","1","NA","13","33","0.394","5","13","0.385","11","14","0.786","1","11","12","9","1","1","2","4","42","31.3","-11"
"55","James Harden","55",2017-02-07,"27-165","HOU",NA,"ORL","W (+24)","1","NA","6","21","0.286","3","10","0.3","10","14","0.714","1","5","6","13","3","0","4","1","25","21","18"
"56","James Harden","56",2017-02-09,"27-167","HOU","@","CHO","W (+12)","1","NA","8","21","0.381","4","9","0.444","10","12","0.833","1","10","11","8","1","1","9","4","30","18.1","13"
"57","James Harden","57",2017-02-11,"27-169","HOU",NA,"PHO","W (+31)","1","NA","9","17","0.529","8","15","0.533","14","16","0.875","1","5","6","8","0","0","8","2","40","29.9","26"
"58","James Harden","58",2017-02-15,"27-173","HOU",NA,"MIA","L (-8)","1","NA","10","21","0.476","4","10","0.4","14","16","0.875","3","9","12","12","0","1","4","5","38","34.4","-6"
"59","James Harden","59",2017-02-23,"27-181","HOU","@","NOP","W (+30)","1","NA","3","9","0.333","1","6","0.167","6","6","1","0","4","4","14","3","0","4","1","13","17.5","27"
"60","James Harden","60",2017-02-25,"27-183","HOU",NA,"MIN","W (+12)","1","NA","6","15","0.4","5","11","0.455","7","10","0.7","0","5","5","10","2","1","7","1","24","18.5","4"
"61","James Harden","61",2017-02-27,"27-185","HOU",NA,"IND","L (-9)","1","NA","5","17","0.294","1","9","0.111","14","17","0.824","1","6","7","12","2","0","2","2","25","24","-9"
"62","James Harden","62",2017-03-01,"27-187","HOU","@","LAC","W (+19)","1","NA","7","15","0.467","4","9","0.444","8","8","1","0","3","3","9","1","0","7","4","26","17.9","0"
"63","James Harden","63",2017-03-04,"27-190","HOU",NA,"MEM","W (+15)","1","NA","9","15","0.6","6","10","0.6","9","13","0.692","1","6","7","11","2","0","5","2","33","30.9","13"
"64","James Harden","64",2017-03-06,"27-192","HOU","@","SAS","L (-2)","1","NA","13","20","0.65","6","9","0.667","7","8","0.875","1","2","3","12","0","0","7","2","39","31.7","-3"
"65","James Harden","65",2017-03-08,"27-194","HOU",NA,"UTA","L (-7)","1","NA","10","22","0.455","0","8","0","15","16","0.938","0","4","4","6","2","1","6","1","35","24.9","1"
"66","James Harden","66",2017-03-10,"27-196","HOU","@","CHI","W (+21)","1","NA","6","16","0.375","3","9","0.333","4","5","0.8","0","7","7","13","3","0","6","3","19","16.8","18"
"67","James Harden","67",2017-03-12,"27-198","HOU",NA,"CLE","W (+5)","1","NA","13","28","0.464","4","14","0.286","8","12","0.667","3","7","10","11","1","1","4","2","38","30.8","23"
"68","James Harden","68",2017-03-15,"27-201","HOU",NA,"LAL","W (+39)","1","NA","6","12","0.5","1","6","0.167","5","7","0.714","3","9","12","13","2","0","9","2","18","17.3","10"
"69","James Harden","69",2017-03-17,"27-203","HOU","@","NOP","L (-16)","1","NA","12","21","0.571","4","10","0.4","13","14","0.929","2","12","14","11","2","0","5","2","41","39.6","-12"
"70","James Harden","70",2017-03-18,"27-204","HOU","@","DEN","W (+4)","1","NA","11","23","0.478","3","8","0.375","15","17","0.882","0","10","10","10","2","0","8","3","40","30.3","10"
"71","James Harden","71",2017-03-20,"27-206","HOU",NA,"DEN","W (+1)","1","NA","13","29","0.448","4","11","0.364","9","11","0.818","1","6","7","11","4","0","6","4","39","29.7","2"
"72","James Harden","72",2017-03-24,"27-210","HOU",NA,"NOP","W (+10)","1","NA","12","24","0.5","5","12","0.417","9","11","0.818","1","6","7","17","2","1","3","2","38","38.5","12"
"73","James Harden","73",2017-03-26,"27-212","HOU",NA,"OKC","W (+12)","1","NA","8","15","0.533","2","8","0.25","4","5","0.8","0","5","5","12","0","0","5","5","22","17.2","11"
"74","James Harden","74",2017-03-28,"27-214","HOU",NA,"GSW","L (-7)","1","NA","5","20","0.25","1","9","0.111","13","13","1","3","8","11","13","1","0","6","1","24","20.2","-9"
"75","James Harden","75",2017-03-30,"27-216","HOU","@","POR","L (-10)","1","NA","11","30","0.367","2","13","0.154","6","7","0.857","2","6","8","4","1","0","6","2","30","13.2","-3"
"76","James Harden","76",2017-03-31,"27-217","HOU","@","GSW","L (-9)","1","NA","4","17","0.235","2","9","0.222","7","7","1","4","8","12","8","0","1","6","3","17","11","-14"
"77","James Harden","77",2017-04-05,"27-222","HOU",NA,"DEN","W (+6)","1","NA","8","19","0.421","4","10","0.4","11","15","0.733","0","7","7","10","1","3","4","3","31","26.3","4"
"78","James Harden","78",2017-04-07,"27-224","HOU",NA,"DET","L (-5)","1","NA","10","25","0.4","7","19","0.368","6","7","0.857","2","7","9","12","0","1","1","4","33","29.1","8"
"79","James Harden","79",2017-04-09,"27-226","HOU","@","SAC","W (+7)","1","NA","9","22","0.409","5","13","0.385","12","13","0.923","0","11","11","15","1","0","10","2","35","26.8","8"
"80","James Harden","80",2017-04-10,"27-227","HOU","@","LAC","L (-29)","1","NA","2","9","0.222","1","6","0.167","9","14","0.643","1","6","7","6","1","0","5","5","14","7.2","-27"
"81","James Harden","81",2017-04-12,"27-229","HOU",NA,"MIN","W (+5)","1","NA","8","13","0.615","5","10","0.5","6","8","0.75","1","9","10","12","4","1","4","3","27","31.6","19"
