"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates"
"70",70,"Golden State Warriors",70,"Mon Mar 20 2017","@","Oklahoma City Thunder","W",NA,111,95,56,14,"W 4",2017-03-20
"71",71,"Golden State Warriors",71,"Tue Mar 21 2017","@","Dallas Mavericks","W",NA,112,87,57,14,"W 5",2017-03-21
"72",72,"Golden State Warriors",72,"Fri Mar 24 2017","vs","Sacramento Kings","W",NA,114,100,58,14,"W 6",2017-03-24
"73",73,"Golden State Warriors",73,"Sun Mar 26 2017","vs","Memphis Grizzlies","W",NA,106,94,59,14,"W 7",2017-03-26
"74",74,"Golden State Warriors",74,"Tue Mar 28 2017","@","Houston Rockets","W",NA,113,106,60,14,"W 8",2017-03-28
"75",75,"Golden State Warriors",75,"Wed Mar 29 2017","@","San Antonio Spurs","W",NA,110,98,61,14,"W 9",2017-03-29
"76",76,"Golden State Warriors",76,"Fri Mar 31 2017","vs","Houston Rockets","W",NA,107,98,62,14,"W 10",2017-03-31
"77",77,"Golden State Warriors",77,"Sun Apr 2 2017","vs","Washington Wizards","W",NA,139,115,63,14,"W 11",2017-04-02
"78",78,"Golden State Warriors",78,"Tue Apr 4 2017","vs","Minnesota Timberwolves","W",NA,121,107,64,14,"W 12",2017-04-04
"79",79,"Golden State Warriors",79,"Wed Apr 5 2017","@","Phoenix Suns","W",NA,120,111,65,14,"W 13",2017-04-05
"80",80,"Golden State Warriors",80,"Sat Apr 8 2017","vs","New Orleans Pelicans","W",NA,123,101,66,14,"W 14",2017-04-08
"81",81,"Golden State Warriors",81,"Mon Apr 10 2017","vs","Utah Jazz","L",NA,99,105,66,15,"L 1",2017-04-10
"82",82,"Golden State Warriors",82,"Wed Apr 12 2017","vs","Los Angeles Lakers","W",NA,109,94,67,15,"W 1",2017-04-12
"83",83,"San Antonio Spurs",1,"Tue Oct 25 2016","@","Golden State Warriors","W",NA,129,100,1,0,"W 1",2016-10-25
"84",84,"San Antonio Spurs",2,"Thu Oct 27 2016","@","Sacramento Kings","W",NA,102,94,2,0,"W 2",2016-10-27
"85",85,"San Antonio Spurs",3,"Sat Oct 29 2016","vs","New Orleans Pelicans","W",NA,98,79,3,0,"W 3",2016-10-29
"86",86,"San Antonio Spurs",4,"Sun Oct 30 2016","@","Miami Heat","W",NA,106,99,4,0,"W 4",2016-10-30
"87",87,"San Antonio Spurs",5,"Tue Nov 1 2016","vs","Utah Jazz","L",NA,91,106,4,1,"L 1",2016-11-01
"88",88,"San Antonio Spurs",6,"Fri Nov 4 2016","@","Utah Jazz","W",NA,100,86,5,1,"W 1",2016-11-04
"89",89,"San Antonio Spurs",7,"Sat Nov 5 2016","vs","Los Angeles Clippers","L",NA,92,116,5,2,"L 1",2016-11-05
"90",90,"San Antonio Spurs",8,"Wed Nov 9 2016","vs","Houston Rockets","L",NA,99,101,5,3,"L 2",2016-11-09
"91",91,"San Antonio Spurs",9,"Fri Nov 11 2016","vs","Detroit Pistons","W",NA,96,86,6,3,"W 1",2016-11-11
"92",92,"San Antonio Spurs",10,"Sat Nov 12 2016","@","Houston Rockets","W",NA,106,100,7,3,"W 2",2016-11-12
"93",93,"San Antonio Spurs",11,"Mon Nov 14 2016","vs","Miami Heat","W",NA,94,90,8,3,"W 3",2016-11-14
"94",94,"San Antonio Spurs",12,"Wed Nov 16 2016","@","Sacramento Kings","W",NA,110,105,9,3,"W 4",2016-11-16
"95",95,"San Antonio Spurs",13,"Fri Nov 18 2016","@","Los Angeles Lakers","W",NA,116,107,10,3,"W 5",2016-11-18
"96",96,"San Antonio Spurs",14,"Mon Nov 21 2016","vs","Dallas Mavericks","W",NA,96,91,11,3,"W 6",2016-11-21
"97",97,"San Antonio Spurs",15,"Wed Nov 23 2016","@","Charlotte Hornets","W",NA,119,114,12,3,"W 7",2016-11-23
"98",98,"San Antonio Spurs",16,"Fri Nov 25 2016","@","Boston Celtics","W",NA,109,103,13,3,"W 8",2016-11-25
"99",99,"San Antonio Spurs",17,"Sat Nov 26 2016","@","Washington Wizards","W",NA,112,100,14,3,"W 9",2016-11-26
"100",100,"San Antonio Spurs",18,"Tue Nov 29 2016","vs","Orlando Magic","L",NA,83,95,14,4,"L 1",2016-11-29
"101",101,"San Antonio Spurs",19,"Wed Nov 30 2016","@","Dallas Mavericks","W",NA,94,87,15,4,"W 1",2016-11-30
"102",102,"San Antonio Spurs",20,"Fri Dec 2 2016","vs","Washington Wizards","W",NA,107,105,16,4,"W 2",2016-12-02
"103",103,"San Antonio Spurs",21,"Mon Dec 5 2016","@","Milwaukee Bucks","W",NA,97,96,17,4,"W 3",2016-12-05
"104",104,"San Antonio Spurs",22,"Tue Dec 6 2016","@","Minnesota Timberwolves","W",NA,105,91,18,4,"W 4",2016-12-06
"105",105,"San Antonio Spurs",23,"Thu Dec 8 2016","@","Chicago Bulls","L",NA,91,95,18,5,"L 1",2016-12-08
"106",106,"San Antonio Spurs",24,"Sat Dec 10 2016","vs","Brooklyn Nets","W",NA,130,101,19,5,"W 1",2016-12-10
"107",107,"San Antonio Spurs",25,"Wed Dec 14 2016","vs","Boston Celtics","W",NA,108,101,20,5,"W 2",2016-12-14
"108",108,"San Antonio Spurs",26,"Thu Dec 15 2016","@","Phoenix Suns","W",NA,107,92,21,5,"W 3",2016-12-15
"109",109,"San Antonio Spurs",27,"Sun Dec 18 2016","vs","New Orleans Pelicans","W",NA,113,100,22,5,"W 4",2016-12-18
"110",110,"San Antonio Spurs",28,"Tue Dec 20 2016","@","Houston Rockets","W",NA,102,100,23,5,"W 5",2016-12-20
"111",111,"San Antonio Spurs",29,"Thu Dec 22 2016","@","Los Angeles Clippers","L",NA,101,106,23,6,"L 1",2016-12-22
"112",112,"San Antonio Spurs",30,"Fri Dec 23 2016","@","Portland Trail Blazers","W",NA,110,90,24,6,"W 1",2016-12-23
"113",113,"San Antonio Spurs",31,"Sun Dec 25 2016","vs","Chicago Bulls","W",NA,119,100,25,6,"W 2",2016-12-25
"114",114,"San Antonio Spurs",32,"Wed Dec 28 2016","vs","Phoenix Suns","W",NA,119,98,26,6,"W 3",2016-12-28
"115",115,"San Antonio Spurs",33,"Fri Dec 30 2016","vs","Portland Trail Blazers","W",NA,110,94,27,6,"W 4",2016-12-30
"116",116,"San Antonio Spurs",34,"Sun Jan 1 2017","@","Atlanta Hawks","L","OT",112,114,27,7,"L 1",2017-01-01
"117",117,"San Antonio Spurs",35,"Tue Jan 3 2017","vs","Toronto Raptors","W",NA,110,82,28,7,"W 1",2017-01-03
"118",118,"San Antonio Spurs",36,"Thu Jan 5 2017","@","Denver Nuggets","W",NA,127,99,29,7,"W 2",2017-01-05
"119",119,"San Antonio Spurs",37,"Sat Jan 7 2017","vs","Charlotte Hornets","W",NA,102,85,30,7,"W 3",2017-01-07
"120",120,"San Antonio Spurs",38,"Tue Jan 10 2017","vs","Milwaukee Bucks","L",NA,107,109,30,8,"L 1",2017-01-10
"121",121,"San Antonio Spurs",39,"Thu Jan 12 2017","vs","Los Angeles Lakers","W",NA,134,94,31,8,"W 1",2017-01-12
"122",122,"San Antonio Spurs",40,"Sat Jan 14 2017","@","Phoenix Suns","L",NA,105,108,31,9,"L 1",2017-01-14
"123",123,"San Antonio Spurs",41,"Tue Jan 17 2017","vs","Minnesota Timberwolves","W",NA,122,114,32,9,"W 1",2017-01-17
"124",124,"San Antonio Spurs",42,"Thu Jan 19 2017","vs","Denver Nuggets","W",NA,118,104,33,9,"W 2",2017-01-19
"125",125,"San Antonio Spurs",43,"Sat Jan 21 2017","@","Cleveland Cavaliers","W","OT",118,115,34,9,"W 3",2017-01-21
"126",126,"San Antonio Spurs",44,"Mon Jan 23 2017","@","Brooklyn Nets","W",NA,112,86,35,9,"W 4",2017-01-23
"127",127,"San Antonio Spurs",45,"Tue Jan 24 2017","@","Toronto Raptors","W",NA,108,106,36,9,"W 5",2017-01-24
"128",128,"San Antonio Spurs",46,"Fri Jan 27 2017","@","New Orleans Pelicans","L",NA,103,119,36,10,"L 1",2017-01-27
"129",129,"San Antonio Spurs",47,"Sun Jan 29 2017","vs","Dallas Mavericks","L",NA,101,105,36,11,"L 2",2017-01-29
