"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"86",86,"Cleveland Cavaliers",4,"Tue Nov 1 2016","vs","Houston Rockets","W",NA,128,120,4,0,"W 4",2016-10-30,1
"87",87,"Cleveland Cavaliers",5,"Thu Nov 3 2016","vs","Boston Celtics","W",NA,128,122,5,0,"W 5",2016-11-01,1
"88",88,"Cleveland Cavaliers",6,"Sat Nov 5 2016","@","Philadelphia 76ers","W",NA,102,101,6,0,"W 6",2016-11-04,1
"89",89,"Cleveland Cavaliers",7,"Tue Nov 8 2016","vs","Atlanta Hawks","L",NA,106,110,6,1,"L 1",2016-11-05,0
"90",90,"Cleveland Cavaliers",8,"Fri Nov 11 2016","@","Washington Wizards","W",NA,105,94,7,1,"W 1",2016-11-09,1
"91",91,"Cleveland Cavaliers",9,"Sun Nov 13 2016","vs","Charlotte Hornets","W",NA,100,93,8,1,"W 2",2016-11-11,1
"92",92,"Cleveland Cavaliers",10,"Tue Nov 15 2016","vs","Toronto Raptors","W",NA,121,117,9,1,"W 3",2016-11-12,1
"93",93,"Cleveland Cavaliers",11,"Wed Nov 16 2016","@","Indiana Pacers","L",NA,93,103,9,2,"L 1",2016-11-14,0
"94",94,"Cleveland Cavaliers",12,"Fri Nov 18 2016","vs","Detroit Pistons","W",NA,104,81,10,2,"W 1",2016-11-16,1
"95",95,"Cleveland Cavaliers",13,"Wed Nov 23 2016","vs","Portland Trail Blazers","W",NA,137,125,11,2,"W 2",2016-11-18,1
"96",96,"Cleveland Cavaliers",14,"Fri Nov 25 2016","vs","Dallas Mavericks","W",NA,128,90,12,2,"W 3",2016-11-21,1
"97",97,"Cleveland Cavaliers",15,"Sun Nov 27 2016","@","Philadelphia 76ers","W",NA,112,108,13,2,"W 4",2016-11-23,1
"98",98,"Cleveland Cavaliers",16,"Tue Nov 29 2016","@","Milwaukee Bucks","L",NA,101,118,13,3,"L 1",2016-11-25,0
"99",99,"Cleveland Cavaliers",17,"Thu Dec 1 2016","vs","Los Angeles Clippers","L",NA,94,113,13,4,"L 2",2016-11-26,0
"100",100,"Cleveland Cavaliers",18,"Fri Dec 2 2016","@","Chicago Bulls","L",NA,105,111,13,5,"L 3",2016-11-29,0
"101",101,"Cleveland Cavaliers",19,"Mon Dec 5 2016","@","Toronto Raptors","W",NA,116,112,14,5,"W 1",2016-11-30,1
"102",102,"Cleveland Cavaliers",20,"Wed Dec 7 2016","@","New York Knicks","W",NA,126,94,15,5,"W 2",2016-12-02,1
"103",103,"Cleveland Cavaliers",21,"Fri Dec 9 2016","vs","Miami Heat","W",NA,114,84,16,5,"W 3",2016-12-05,1
"104",104,"Cleveland Cavaliers",22,"Sat Dec 10 2016","vs","Charlotte Hornets","W",NA,116,105,17,5,"W 4",2016-12-06,1
"105",105,"Cleveland Cavaliers",23,"Tue Dec 13 2016","vs","Memphis Grizzlies","W",NA,103,86,18,5,"W 5",2016-12-08,1
"106",106,"Cleveland Cavaliers",24,"Wed Dec 14 2016","@","Memphis Grizzlies","L",NA,85,93,18,6,"L 1",2016-12-10,0
"107",107,"Cleveland Cavaliers",25,"Sat Dec 17 2016","vs","Los Angeles Lakers","W",NA,119,108,19,6,"W 1",2016-12-14,1
"108",108,"Cleveland Cavaliers",26,"Tue Dec 20 2016","@","Milwaukee Bucks","W","OT",114,108,20,6,"W 2",2016-12-15,1
"109",109,"Cleveland Cavaliers",27,"Wed Dec 21 2016","vs","Milwaukee Bucks","W",NA,113,102,21,6,"W 3",2016-12-18,1
"110",110,"Cleveland Cavaliers",28,"Fri Dec 23 2016","vs","Brooklyn Nets","W",NA,119,99,22,6,"W 4",2016-12-20,1
"111",111,"Cleveland Cavaliers",29,"Sun Dec 25 2016","vs","Golden State Warriors","W",NA,109,108,23,6,"W 5",2016-12-22,1
"112",112,"Cleveland Cavaliers",30,"Mon Dec 26 2016","@","Detroit Pistons","L",NA,90,106,23,7,"L 1",2016-12-23,0
"113",113,"Cleveland Cavaliers",31,"Thu Dec 29 2016","vs","Boston Celtics","W",NA,124,118,24,7,"W 1",2016-12-25,1
"114",114,"Cleveland Cavaliers",32,"Sat Dec 31 2016","@","Charlotte Hornets","W",NA,121,109,25,7,"W 2",2016-12-28,1
"115",115,"Cleveland Cavaliers",33,"Mon Jan 2 2017","vs","New Orleans Pelicans","W",NA,90,82,26,7,"W 3",2016-12-30,1
"116",116,"Cleveland Cavaliers",34,"Wed Jan 4 2017","vs","Chicago Bulls","L",NA,94,106,26,8,"L 1",2017-01-01,0
"117",117,"Cleveland Cavaliers",35,"Fri Jan 6 2017","@","Brooklyn Nets","W",NA,116,108,27,8,"W 1",2017-01-03,1
"118",118,"Cleveland Cavaliers",36,"Sun Jan 8 2017","@","Phoenix Suns","W",NA,120,116,28,8,"W 2",2017-01-05,1
"119",119,"Cleveland Cavaliers",37,"Tue Jan 10 2017","@","Utah Jazz","L",NA,92,100,28,9,"L 1",2017-01-07,0
"120",120,"Cleveland Cavaliers",38,"Wed Jan 11 2017","@","Portland Trail Blazers","L",NA,86,102,28,10,"L 2",2017-01-10,0
"121",121,"Cleveland Cavaliers",39,"Fri Jan 13 2017","@","Sacramento Kings","W",NA,120,108,29,10,"W 1",2017-01-12,1
"122",122,"Cleveland Cavaliers",40,"Mon Jan 16 2017","@","Golden State Warriors","L",NA,91,126,29,11,"L 1",2017-01-14,0
"123",123,"Cleveland Cavaliers",41,"Thu Jan 19 2017","vs","Phoenix Suns","W",NA,118,103,30,11,"W 1",2017-01-17,1
"124",124,"Cleveland Cavaliers",42,"Sat Jan 21 2017","vs","San Antonio Spurs","L","OT",115,118,30,12,"L 1",2017-01-19,0
