"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"66",132,"San Antonio Spurs",50,"Sat Feb 4 2017","vs","Denver Nuggets","W",NA,121,97,39,11,"W 3",2017-02-04,1
"67",141,"San Antonio Spurs",59,"Wed Mar 1 2017","vs","Indiana Pacers","W",NA,100,99,46,13,"W 5",2017-03-01,1
"68",143,"San Antonio Spurs",61,"Sat Mar 4 2017","vs","Minnesota Timberwolves","W","OT",97,90,48,13,"W 7",2017-03-04,1
"69",144,"San Antonio Spurs",62,"Mon Mar 6 2017","vs","Houston Rockets","W",NA,112,110,49,13,"W 8",2017-03-06,1
"70",145,"San Antonio Spurs",63,"Wed Mar 8 2017","vs","Sacramento Kings","W",NA,114,104,50,13,"W 9",2017-03-08,1
"71",147,"San Antonio Spurs",65,"Sat Mar 11 2017","vs","Golden State Warriors","W",NA,107,85,51,14,"W 1",2017-03-11,1
"72",148,"San Antonio Spurs",66,"Mon Mar 13 2017","vs","Atlanta Hawks","W",NA,107,99,52,14,"W 2",2017-03-13,1
"73",149,"San Antonio Spurs",67,"Wed Mar 15 2017","vs","Portland Trail Blazers","L",NA,106,110,52,15,"L 1",2017-03-15,0
"74",151,"San Antonio Spurs",69,"Sun Mar 19 2017","vs","Sacramento Kings","W",NA,118,102,53,16,"W 1",2017-03-19,1
"75",153,"San Antonio Spurs",71,"Thu Mar 23 2017","vs","Memphis Grizzlies","W",NA,97,90,55,16,"W 3",2017-03-23,1
"76",154,"San Antonio Spurs",72,"Sat Mar 25 2017","vs","New York Knicks","W",NA,106,98,56,16,"W 4",2017-03-25,1
"77",155,"San Antonio Spurs",73,"Mon Mar 27 2017","vs","Cleveland Cavaliers","W",NA,103,74,57,16,"W 5",2017-03-27,1
"78",156,"San Antonio Spurs",74,"Wed Mar 29 2017","vs","Golden State Warriors","L",NA,98,110,57,17,"L 1",2017-03-29,0
"79",158,"San Antonio Spurs",76,"Sun Apr 2 2017","vs","Utah Jazz","W",NA,109,103,59,17,"W 2",2017-04-02,1
"80",159,"San Antonio Spurs",77,"Tue Apr 4 2017","vs","Memphis Grizzlies","W","OT",95,89,60,17,"W 3",2017-04-04,1
"81",160,"San Antonio Spurs",78,"Wed Apr 5 2017","vs","Los Angeles Lakers","L",NA,95,102,60,18,"L 1",2017-04-05,0
"82",162,"San Antonio Spurs",80,"Sat Apr 8 2017","vs","Los Angeles Clippers","L",NA,87,98,61,19,"L 1",2017-04-08,0
"83",167,"Houston Rockets",3,"Sun Oct 30 2016","vs","Dallas Mavericks","W",NA,93,92,2,1,"W 2",2016-10-30,1
"84",173,"Houston Rockets",9,"Sat Nov 12 2016","vs","San Antonio Spurs","L",NA,100,106,5,4,"L 1",2016-11-12,0
"85",174,"Houston Rockets",10,"Mon Nov 14 2016","vs","Philadelphia 76ers","W",NA,115,88,6,4,"W 1",2016-11-14,1
"86",176,"Houston Rockets",12,"Thu Nov 17 2016","vs","Portland Trail Blazers","W",NA,126,109,7,5,"W 1",2016-11-17,1
"87",177,"Houston Rockets",13,"Sat Nov 19 2016","vs","Utah Jazz","W",NA,111,102,8,5,"W 2",2016-11-19,1
"88",179,"Houston Rockets",15,"Wed Nov 23 2016","vs","Toronto Raptors","L",NA,102,115,9,6,"L 1",2016-11-23,0
"89",185,"Houston Rockets",21,"Mon Dec 5 2016","vs","Boston Celtics","W",NA,107,106,14,7,"W 3",2016-12-05,1
"90",186,"Houston Rockets",22,"Wed Dec 7 2016","vs","Los Angeles Lakers","W",NA,134,95,15,7,"W 4",2016-12-07,1
"91",188,"Houston Rockets",24,"Sat Dec 10 2016","vs","Dallas Mavericks","W",NA,109,87,17,7,"W 6",2016-12-10,1
"92",189,"Houston Rockets",25,"Mon Dec 12 2016","vs","Brooklyn Nets","W",NA,122,118,18,7,"W 7",2016-12-12,1
"93",190,"Houston Rockets",26,"Wed Dec 14 2016","vs","Sacramento Kings","W",NA,132,98,19,7,"W 8",2016-12-14,1
"94",191,"Houston Rockets",27,"Fri Dec 16 2016","vs","New Orleans Pelicans","W",NA,122,100,20,7,"W 9",2016-12-16,1
"95",193,"Houston Rockets",29,"Tue Dec 20 2016","vs","San Antonio Spurs","L",NA,100,102,21,8,"L 1",2016-12-20,0
"96",196,"Houston Rockets",32,"Mon Dec 26 2016","vs","Phoenix Suns","W",NA,131,115,23,9,"W 1",2016-12-26,1
"97",198,"Houston Rockets",34,"Fri Dec 30 2016","vs","Los Angeles Clippers","W",NA,140,116,25,9,"W 3",2016-12-30,1
"98",199,"Houston Rockets",35,"Sat Dec 31 2016","vs","New York Knicks","W",NA,129,122,26,9,"W 4",2016-12-31,1
"99",200,"Houston Rockets",36,"Mon Jan 2 2017","vs","Washington Wizards","W",NA,101,91,27,9,"W 5",2017-01-02,1
"100",201,"Houston Rockets",37,"Thu Jan 5 2017","vs","Oklahoma City Thunder","W",NA,118,116,28,9,"W 6",2017-01-05,1
"101",204,"Houston Rockets",40,"Tue Jan 10 2017","vs","Charlotte Hornets","W",NA,121,114,31,9,"W 9",2017-01-10,1
"102",206,"Houston Rockets",42,"Fri Jan 13 2017","vs","Memphis Grizzlies","L",NA,105,110,31,11,"L 2",2017-01-13,0
"103",209,"Houston Rockets",45,"Wed Jan 18 2017","vs","Milwaukee Bucks","W",NA,111,92,33,12,"W 1",2017-01-18,1
"104",210,"Houston Rockets",46,"Fri Jan 20 2017","vs","Golden State Warriors","L",NA,108,125,33,13,"L 1",2017-01-20,0
"105",216,"Houston Rockets",52,"Tue Jan 31 2017","vs","Sacramento Kings","W",NA,105,83,36,16,"W 1",2017-01-31,1
"106",217,"Houston Rockets",53,"Thu Feb 2 2017","vs","Atlanta Hawks","L",NA,108,113,36,17,"L 1",2017-02-02,0
"107",218,"Houston Rockets",54,"Fri Feb 3 2017","vs","Chicago Bulls","W","OT",121,117,37,17,"W 1",2017-02-03,1
"108",219,"Houston Rockets",55,"Tue Feb 7 2017","vs","Orlando Magic","W",NA,128,104,38,17,"W 2",2017-02-07,1
"109",221,"Houston Rockets",57,"Sat Feb 11 2017","vs","Phoenix Suns","W",NA,133,102,40,17,"W 4",2017-02-11,1
"110",222,"Houston Rockets",58,"Wed Feb 15 2017","vs","Miami Heat","L",NA,109,117,40,18,"L 1",2017-02-15,0
"111",224,"Houston Rockets",60,"Sat Feb 25 2017","vs","Minnesota Timberwolves","W",NA,142,130,42,18,"W 2",2017-02-25,1
"112",225,"Houston Rockets",61,"Mon Feb 27 2017","vs","Indiana Pacers","L",NA,108,117,42,19,"L 1",2017-02-27,0
"113",227,"Houston Rockets",63,"Sat Mar 4 2017","vs","Memphis Grizzlies","W",NA,123,108,44,19,"W 2",2017-03-04,1
"114",229,"Houston Rockets",65,"Wed Mar 8 2017","vs","Utah Jazz","L",NA,108,115,44,21,"L 2",2017-03-08,0
"115",231,"Houston Rockets",67,"Sun Mar 12 2017","vs","Cleveland Cavaliers","W",NA,117,112,46,21,"W 2",2017-03-12,1
"116",232,"Houston Rockets",68,"Wed Mar 15 2017","vs","Los Angeles Lakers","W",NA,139,100,47,21,"W 3",2017-03-15,1
"117",235,"Houston Rockets",71,"Mon Mar 20 2017","vs","Denver Nuggets","W",NA,125,124,49,22,"W 2",2017-03-20,1
"118",236,"Houston Rockets",72,"Fri Mar 24 2017","vs","New Orleans Pelicans","W",NA,117,107,50,22,"W 3",2017-03-24,1
"119",237,"Houston Rockets",73,"Sun Mar 26 2017","vs","Oklahoma City Thunder","W",NA,137,125,51,22,"W 4",2017-03-26,1
