G,Date,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Wed Feb 15 2017,@,Houston Rockets,W,,117,109,25,32,W 1,
58,Fri Feb 24 2017,@,Atlanta Hawks,W,,108,90,26,32,W 2,
59,Sat Feb 25 2017,,Indiana Pacers,W,,113,95,27,32,W 3,
60,Mon Feb 27 2017,@,Dallas Mavericks,L,,89,96,27,33,L 1,
61,Wed Mar 1 2017,,Philadelphia 76ers,W,,125,98,28,33,W 1,
62,Fri Mar 3 2017,@,Orlando Magic,L,,99,110,28,34,L 1,
63,Sat Mar 4 2017,,Cleveland Cavaliers,W,,120,92,29,34,W 1,
64,Mon Mar 6 2017,@,Cleveland Cavaliers,W,,106,98,30,34,W 2,
65,Wed Mar 8 2017,,Charlotte Hornets,W,,108,101,31,34,W 3,
66,Sat Mar 11 2017,,Toronto Raptors,W,,104,89,32,34,W 4,
67,Sun Mar 12 2017,@,Indiana Pacers,L,,98,102,32,35,L 1,
68,Wed Mar 15 2017,,New Orleans Pelicans,W,,120,112,33,35,W 1,
69,Fri Mar 17 2017,,Minnesota Timberwolves,W,,123,105,34,35,W 2,
70,Sun Mar 19 2017,,Portland Trail Blazers,L,,104,115,34,36,L 1,
71,Tue Mar 21 2017,,Phoenix Suns,W,,112,97,35,36,W 1,
72,Thu Mar 23 2017,,Toronto Raptors,L,,84,101,35,37,L 1,
73,Sun Mar 26 2017,@,Boston Celtics,L,,108,112,35,38,L 2,
74,Tue Mar 28 2017,@,Detroit Pistons,W,,97,96,36,38,W 1,
75,Wed Mar 29 2017,@,New York Knicks,W,,105,88,37,38,W 2,
76,Fri Mar 31 2017,,New York Knicks,L,,94,98,37,39,L 1,
77,Sun Apr 2 2017,,Denver Nuggets,L,,113,116,37,40,L 2,
78,Wed Apr 5 2017,@,Charlotte Hornets,W,,112,99,38,40,W 1,
79,Fri Apr 7 2017,@,Toronto Raptors,L,,94,96,38,41,L 1,
80,Sat Apr 8 2017,@,Washington Wizards,W,,106,103,39,41,W 1,
81,Mon Apr 10 2017,,Cleveland Cavaliers,W,OT,124,121,40,41,W 2,
82,Wed Apr 12 2017,,Washington Wizards,W,,110,102,41,41,W 3,
