"","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Notes"
"145","Cleveland Cavaliers",63,"Thu Mar 9 2017","@","Detroit Pistons","L",NA,101,106,42,21,"L 3",NA
"146","Cleveland Cavaliers",64,"Sat Mar 11 2017","@","Orlando Magic","W",NA,116,104,43,21,"W 1",NA
"147","Cleveland Cavaliers",65,"Sun Mar 12 2017","@","Houston Rockets","L",NA,112,117,43,22,"L 1",NA
"148","Cleveland Cavaliers",66,"Tue Mar 14 2017",NA,"Detroit Pistons","W",NA,128,96,44,22,"W 1",NA
"149","Cleveland Cavaliers",67,"Thu Mar 16 2017",NA,"Utah Jazz","W",NA,91,83,45,22,"W 2",NA
"150","Cleveland Cavaliers",68,"Sat Mar 18 2017","@","Los Angeles Clippers","L",NA,78,108,45,23,"L 1",NA
"151","Cleveland Cavaliers",69,"Sun Mar 19 2017","@","Los Angeles Lakers","W",NA,125,120,46,23,"W 1",NA
"152","Cleveland Cavaliers",70,"Wed Mar 22 2017","@","Denver Nuggets","L",NA,113,126,46,24,"L 1",NA
"153","Cleveland Cavaliers",71,"Fri Mar 24 2017","@","Charlotte Hornets","W",NA,112,105,47,24,"W 1",NA
"154","Cleveland Cavaliers",72,"Sat Mar 25 2017",NA,"Washington Wizards","L",NA,115,127,47,25,"L 1",NA
"155","Cleveland Cavaliers",73,"Mon Mar 27 2017","@","San Antonio Spurs","L",NA,74,103,47,26,"L 2",NA
"156","Cleveland Cavaliers",74,"Thu Mar 30 2017","@","Chicago Bulls","L",NA,93,99,47,27,"L 3",NA
"157","Cleveland Cavaliers",75,"Fri Mar 31 2017",NA,"Philadelphia 76ers","W",NA,122,105,48,27,"W 1",NA
"158","Cleveland Cavaliers",76,"Sun Apr 2 2017",NA,"Indiana Pacers","W","2OT",135,130,49,27,"W 2",NA
"159","Cleveland Cavaliers",77,"Tue Apr 4 2017",NA,"Orlando Magic","W",NA,122,102,50,27,"W 3",NA
"160","Cleveland Cavaliers",78,"Wed Apr 5 2017","@","Boston Celtics","W",NA,114,91,51,27,"W 4",NA
"161","Cleveland Cavaliers",79,"Fri Apr 7 2017",NA,"Atlanta Hawks","L",NA,100,114,51,28,"L 1",NA
"162","Cleveland Cavaliers",80,"Sun Apr 9 2017","@","Atlanta Hawks","L","OT",125,126,51,29,"L 2",NA
"163","Cleveland Cavaliers",81,"Mon Apr 10 2017","@","Miami Heat","L","OT",121,124,51,30,"L 3",NA
"164","Cleveland Cavaliers",82,"Wed Apr 12 2017",NA,"Toronto Raptors","L",NA,83,98,51,31,"L 4",NA
"165","Toronto Raptors",1,"Wed Oct 26 2016",NA,"Detroit Pistons","W",NA,109,91,1,0,"W 1",NA
"166","Toronto Raptors",2,"Fri Oct 28 2016",NA,"Cleveland Cavaliers","L",NA,91,94,1,1,"L 1",NA
"167","Toronto Raptors",3,"Mon Oct 31 2016",NA,"Denver Nuggets","W",NA,105,102,2,1,"W 1",NA
"168","Toronto Raptors",4,"Wed Nov 2 2016","@","Washington Wizards","W",NA,113,103,3,1,"W 2",NA
"169","Toronto Raptors",5,"Fri Nov 4 2016",NA,"Miami Heat","W",NA,96,87,4,1,"W 3",NA
"170","Toronto Raptors",6,"Sun Nov 6 2016",NA,"Sacramento Kings","L",NA,91,96,4,2,"L 1",NA
"171","Toronto Raptors",7,"Wed Nov 9 2016","@","Oklahoma City Thunder","W",NA,112,102,5,2,"W 1",NA
"172","Toronto Raptors",8,"Fri Nov 11 2016","@","Charlotte Hornets","W",NA,113,111,6,2,"W 2",NA
"173","Toronto Raptors",9,"Sat Nov 12 2016",NA,"New York Knicks","W",NA,118,107,7,2,"W 3",NA
"174","Toronto Raptors",10,"Tue Nov 15 2016","@","Cleveland Cavaliers","L",NA,117,121,7,3,"L 1",NA
"175","Toronto Raptors",11,"Wed Nov 16 2016",NA,"Golden State Warriors","L",NA,121,127,7,4,"L 2",NA
"176","Toronto Raptors",12,"Fri Nov 18 2016","@","Denver Nuggets","W","OT",113,111,8,4,"W 1",NA
