G,Date,,Opponent,,,Tm,Opp,W,L,Streak,Notes
66,Mon Mar 13 2017,,Washington Wizards,W,,119,104,28,38,W 1,
67,Wed Mar 15 2017,@,Boston Celtics,L,,104,117,28,39,L 1,
68,Fri Mar 17 2017,@,Miami Heat,L,,105,123,28,40,L 2,
69,Sun Mar 19 2017,@,New Orleans Pelicans,L,,109,123,28,41,L 3,
70,Tue Mar 21 2017,,San Antonio Spurs,L,,93,100,28,42,L 4,
71,Fri Mar 24 2017,@,Los Angeles Lakers,L,OT,119,130,28,43,L 5,
72,Sat Mar 25 2017,@,Portland Trail Blazers,L,,100,112,28,44,L 6,
73,Tue Mar 28 2017,@,Indiana Pacers,W,,115,114,29,44,W 1,
74,Thu Mar 30 2017,,Los Angeles Lakers,W,,119,104,30,44,W 2,
75,Sat Apr 1 2017,,Sacramento Kings,L,,117,123,30,45,L 1,
76,Mon Apr 3 2017,,Portland Trail Blazers,W,,110,109,31,45,W 1,
77,Tue Apr 4 2017,@,Golden State Warriors,L,,107,121,31,46,L 1,
78,Thu Apr 6 2017,@,Portland Trail Blazers,L,,98,105,31,47,L 2,
79,Fri Apr 7 2017,@,Utah Jazz,L,,113,120,31,48,L 3,
80,Sun Apr 9 2017,@,Los Angeles Lakers,L,,109,110,31,49,L 4,
81,Tue Apr 11 2017,,Oklahoma City Thunder,L,,98,100,31,50,L 5,
82,Wed Apr 12 2017,@,Houston Rockets,L,,118,123,31,51,L 6,
